,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,6553,228911,4,2,4,triangle,multimat-right-work-distribution,4_2_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9269,161822,4,2,8,rectangle,multimat-right-work-distribution,4_2_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9269,161830,4,2,8,triangle,multimat-right-work-distribution,4_2_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14552,103075,4,2,16,rectangle,multimat-right-work-distribution,4_2_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14749,101872,4,2,16,triangle,multimat-right-work-distribution,4_2_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5049,297063,4,4,1,rectangle,multimat-right-work-distribution,4_4_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4595,326386,4,4,1,triangle,multimat-right-work-distribution,4_4_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7156,209608,4,4,4,rectangle,multimat-right-work-distribution,4_4_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7158,209536,4,4,4,triangle,multimat-right-work-distribution,4_4_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10476,143172,4,4,8,rectangle,multimat-right-work-distribution,4_4_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10350,144928,4,4,8,triangle,multimat-right-work-distribution,4_4_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,16937,88609,4,4,16,rectangle,multimat-right-work-distribution,4_4_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17123,87600,4,4,16,triangle,multimat-right-work-distribution,4_4_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5196,288651,4,8,1,rectangle,multimat-right-work-distribution,4_8_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5201,288577,4,8,1,triangle,multimat-right-work-distribution,4_8_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9722,154277,4,8,4,rectangle,multimat-right-work-distribution,4_8_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9873,151918,4,8,4,triangle,multimat-right-work-distribution,4_8_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15608,96102,4,8,8,rectangle,multimat-right-work-distribution,4_8_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15597,96177,4,8,8,triangle,multimat-right-work-distribution,4_8_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,27377,54789,4,8,16,rectangle,multimat-right-work-distribution,4_8_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,27524,54499,4,8,16,triangle,multimat-right-work-distribution,4_8_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6107,245598,8,1,1,rectangle,multimat-right-work-distribution,8_1_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5211,287801,8,1,1,triangle,multimat-right-work-distribution,8_1_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6706,223658,8,1,4,rectangle,multimat-right-work-distribution,8_1_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6706,223672,8,1,4,triangle,multimat-right-work-distribution,8_1_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9442,158946,8,1,8,rectangle,multimat-right-work-distribution,8_1_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9571,156720,8,1,8,triangle,multimat-right-work-distribution,8_1_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15217,98598,8,1,16,rectangle,multimat-right-work-distribution,8_1_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15148,99009,8,1,16,triangle,multimat-right-work-distribution,8_1_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5503,272540,8,2,1,rectangle,multimat-right-work-distribution,8_2_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4753,315747,8,2,1,triangle,multimat-right-work-distribution,8_2_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7479,200543,8,2,4,rectangle,multimat-right-work-distribution,8_2_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7458,201127,8,2,4,triangle,multimat-right-work-distribution,8_2_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10705,140107,8,2,8,rectangle,multimat-right-work-distribution,8_2_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10648,140952,8,2,8,triangle,multimat-right-work-distribution,8_2_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,16804,89260,8,2,16,rectangle,multimat-right-work-distribution,8_2_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,16937,88574,8,2,16,triangle,multimat-right-work-distribution,8_2_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,4975,301893,8,4,1,rectangle,multimat-right-work-distribution,8_4_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5110,293481,8,4,1,triangle,multimat-right-work-distribution,8_4_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8962,167400,8,4,4,rectangle,multimat-right-work-distribution,8_4_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9107,164679,8,4,4,triangle,multimat-right-work-distribution,8_4_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13131,114251,8,4,8,rectangle,multimat-right-work-distribution,8_4_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13332,112507,8,4,8,triangle,multimat-right-work-distribution,8_4_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,21593,69481,8,4,16,rectangle,multimat-right-work-distribution,8_4_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,21748,68964,8,4,16,triangle,multimat-right-work-distribution,8_4_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,5994,250290,8,8,1,rectangle,multimat-right-work-distribution,8_8_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6135,244741,8,8,1,triangle,multimat-right-work-distribution,8_8_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12482,120185,8,8,4,rectangle,multimat-right-work-distribution,8_8_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12658,118531,8,8,4,triangle,multimat-right-work-distribution,8_8_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19559,76687,8,8,8,rectangle,multimat-right-work-distribution,8_8_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19970,75131,8,8,8,triangle,multimat-right-work-distribution,8_8_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
