,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,14313,104899,4,1,8,rectangle,multimat-right-work-distribution,4_1_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14381,104306,4,1,8,triangle,multimat-right-work-distribution,4_1_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22133,67775,4,1,16,rectangle,multimat-right-work-distribution,4_1_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,21961,68276,4,1,16,triangle,multimat-right-work-distribution,4_1_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8161,183834,4,2,1,rectangle,multimat-right-work-distribution,4_2_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7872,190522,4,2,1,triangle,multimat-right-work-distribution,4_2_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10639,141018,4,2,4,rectangle,multimat-right-work-distribution,4_2_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10788,139006,4,2,4,triangle,multimat-right-work-distribution,4_2_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15244,98403,4,2,8,rectangle,multimat-right-work-distribution,4_2_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15159,98950,4,2,8,triangle,multimat-right-work-distribution,4_2_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,24048,62389,4,2,16,rectangle,multimat-right-work-distribution,4_2_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,24244,61871,4,2,16,triangle,multimat-right-work-distribution,4_2_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8131,184448,4,4,1,rectangle,multimat-right-work-distribution,4_4_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7874,190507,4,4,1,triangle,multimat-right-work-distribution,4_4_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10886,137812,4,4,4,rectangle,multimat-right-work-distribution,4_4_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10872,137960,4,4,4,triangle,multimat-right-work-distribution,4_4_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15887,94430,4,4,8,rectangle,multimat-right-work-distribution,4_4_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15720,95436,4,4,8,triangle,multimat-right-work-distribution,4_4_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,25327,59223,4,4,16,rectangle,multimat-right-work-distribution,4_4_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,24790,60541,4,4,16,triangle,multimat-right-work-distribution,4_4_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10135,147953,4,8,1,rectangle,multimat-right-work-distribution,4_8_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10117,148252,4,8,1,triangle,multimat-right-work-distribution,4_8_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,20458,73321,4,8,4,rectangle,multimat-right-work-distribution,4_8_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,20712,72412,4,8,4,triangle,multimat-right-work-distribution,4_8_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,34844,43046,4,8,8,rectangle,multimat-right-work-distribution,4_8_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,35140,42690,4,8,8,triangle,multimat-right-work-distribution,4_8_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,63857,23490,4,8,16,rectangle,multimat-right-work-distribution,4_8_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,64099,23398,4,8,16,triangle,multimat-right-work-distribution,4_8_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9166,163623,8,1,1,rectangle,multimat-right-work-distribution,8_1_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8712,172165,8,1,1,triangle,multimat-right-work-distribution,8_1_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10366,144725,8,1,4,rectangle,multimat-right-work-distribution,8_1_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10388,144361,8,1,4,triangle,multimat-right-work-distribution,8_1_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14604,102698,8,1,8,rectangle,multimat-right-work-distribution,8_1_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14628,102538,8,1,8,triangle,multimat-right-work-distribution,8_1_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22571,66429,8,1,16,rectangle,multimat-right-work-distribution,8_1_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
