,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
3,22411,6667,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,22389,6684,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,22406,6680,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,22411,6687,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,22389,6692,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,22386,6704,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,22414,6669,4,2,1,none,20,multimat-right,4_2,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,24500,6097,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,24522,6082,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,24452,6132,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,24534,6107,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,24493,6106,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,24514,6110,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,24475,6105,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,24520,6111,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,24483,6112,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,24511,6118,4,4,1,none,20,multimat-right,4_4,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,24605,6060,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
1,24623,6064,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
2,24567,6083,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
3,24628,6078,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
4,24593,6089,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
5,24623,6086,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
6,24633,6084,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
7,24634,6088,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
8,24607,6069,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
9,24628,6090,4,8,1,none,20,multimat-right,4_8,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
0,22571,6599,8,1,1,none,20,multimat-right,8_1,16_16_4_16,5120,16,16,256,4,16,4x16,n_to_mn
