,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,102561,1462,8,basic,8,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one_saturated
0,139507,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
1,139511,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
2,139518,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
3,139508,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
4,139521,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
5,139509,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
6,139511,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
7,139510,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
8,139522,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
9,139515,1075,4,basic,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
0,141964,1057,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
1,142153,1055,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
2,142334,1054,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
3,141994,1057,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
4,142138,1055,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
5,142004,1057,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
6,142141,1056,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
7,142003,1057,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
8,142138,1056,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
9,142002,1057,8,basic,8,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one_saturated
0,291768,514,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
1,290982,516,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
2,291750,515,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
3,290978,516,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
4,291778,514,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
5,290972,516,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
6,291760,515,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
7,290978,516,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
8,291760,514,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
9,290968,516,4,basic,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
0,314117,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
1,314331,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
2,314110,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
3,314327,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
4,314085,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
5,314325,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
6,314098,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
7,314344,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
8,314102,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
9,314316,478,8,basic,8,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one_saturated
0,509313,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
1,509094,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
2,509295,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
3,509105,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
4,509282,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
5,509094,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
6,509292,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
7,509080,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
8,509299,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
9,509108,295,4,basic,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
0,549103,274,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
