,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,3644515,41,4,2,multimat-right,4_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,2743978,42,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,2766847,54,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,2768002,55,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,2770071,54,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,2769995,54,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,2762695,54,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,2765463,54,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,2764669,55,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,2769844,54,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,2773371,54,4,4,multimat-right,4_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,2316095,48,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,2329284,65,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,2336735,64,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,2328954,65,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,2337209,65,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,2337650,65,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,2323456,65,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,2338154,65,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,2329899,65,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,2333359,64,4,8,multimat-right,4_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
