,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
4,319714,470,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,320500,466,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,320706,468,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,320235,467,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,319564,468,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,320447,470,4,4,1,1,multimat-right-multirow-both,4_1_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,272334,554,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,274037,548,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,274142,548,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,274266,549,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,274530,547,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,275386,546,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,275625,549,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,274961,542,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,274538,547,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
