,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,28736139,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,28815872,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,28820480,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,28747093,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,28947967,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,28790273,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,28857172,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,28870506,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,28805819,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,28864682,6,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,24027158,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,24063999,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,24050103,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,23963749,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,24125691,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,24133486,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,23955309,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,24066194,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,24247881,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,24257651,7,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,54938003,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,55041025,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,54944183,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,55075490,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,55076863,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,54988713,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,55051595,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,55159093,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,55063893,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,55020543,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,37840385,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,37914636,5,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,37874304,5,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,37871002,5,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,37889633,5,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,37726834,5,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,37947598,5,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,37901336,5,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,37967053,5,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,37938995,5,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,28586667,6,8,4,multimat-right,8_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,28673706,6,8,4,multimat-right,8_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,28543355,6,8,4,multimat-right,8_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
