,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,19542,76793,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,19539,76762,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,19537,76755,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,19542,76801,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,19545,76788,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,19544,76767,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,19540,76761,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,19542,76798,4,1,1,16,rectangle,multimat-both-work-distribution,4_1_1_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,19335,77700,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,19333,77635,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,19327,77616,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,19328,77609,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,19321,77635,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,19321,77679,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,19331,77580,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,19326,77606,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,19329,77605,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,19324,77667,4,1,1,16,triangle,multimat-both-work-distribution,4_1_1_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,4932,303954,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,4933,304529,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,4933,304561,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,4932,304523,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,4934,304567,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,4934,304289,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,4934,304529,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,4933,304422,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,4934,304485,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,4934,304441,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,4932,304664,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,4933,304707,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,4933,304694,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,4932,304643,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,4933,304624,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,4933,304510,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,4933,304637,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,4933,304668,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
