,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,88312,16985,8,1,rectangle,basic-work_distribution,8_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,87193,17203,8,1,triangle,basic-work_distribution,8_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,88683,16913,8,2,rectangle,basic-work_distribution,8_2_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,87982,17046,8,2,triangle,basic-work_distribution,8_2_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,94291,15911,8,4,rectangle,basic-work_distribution,8_4_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,93656,16018,8,4,triangle,basic-work_distribution,8_4_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,108158,10000,8,8,rectangle,basic-work_distribution,8_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,106609,10000,8,8,triangle,basic-work_distribution,8_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,156000,9618,8,16,rectangle,basic-work_distribution,8_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,129244,10000,8,16,triangle,basic-work_distribution,8_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,237182,6346,4,1,rectangle,basic-work_distribution,4_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,236381,6394,4,1,triangle,basic-work_distribution,4_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,233212,6421,4,2,rectangle,basic-work_distribution,4_2_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,232056,6456,4,2,triangle,basic-work_distribution,4_2_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,237644,6305,4,4,rectangle,basic-work_distribution,4_4_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,236843,6328,4,4,triangle,basic-work_distribution,4_4_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,251807,5954,4,8,rectangle,basic-work_distribution,4_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,250143,5988,4,8,triangle,basic-work_distribution,4_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,278485,5375,4,16,rectangle,basic-work_distribution,4_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,276209,5427,4,16,triangle,basic-work_distribution,4_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,238488,6301,8,1,rectangle,basic-work_distribution,8_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,236987,6349,8,1,triangle,basic-work_distribution,8_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,235077,6366,8,2,rectangle,basic-work_distribution,8_2_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,233773,6406,8,2,triangle,basic-work_distribution,8_2_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,240750,6215,8,4,rectangle,basic-work_distribution,8_4_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,239755,6247,8,4,triangle,basic-work_distribution,8_4_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,258467,5775,8,8,rectangle,basic-work_distribution,8_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,256825,5838,8,8,triangle,basic-work_distribution,8_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
