,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,130824,10000,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,34404,43607,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,35258,42534,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,29370,51081,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,29118,51529,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,290179,5168,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,283572,5287,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,68899,21768,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,73704,20352,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,56475,26557,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,58528,25631,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,280195,5350,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,286421,5233,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,70487,21285,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,74954,20011,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,58553,25624,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,60326,24859,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,304928,4916,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,313305,4786,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,77019,19476,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,78919,19009,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
