,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,62061,2417,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
9,62051,2417,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,63048,2373,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,63059,2375,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,63056,2377,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,63042,2379,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,63029,2378,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,63055,2377,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,63059,2379,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,63039,2378,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
8,63052,2377,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
9,63038,2376,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,66933,2238,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,66920,2239,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,66928,2240,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,66926,2241,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,66939,2241,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,66926,2243,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,66921,2241,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,66927,2241,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
8,66926,2240,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
9,66924,2240,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,199729,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
1,199716,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
2,199722,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
3,199741,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
4,199726,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
5,199731,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
6,199735,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
7,199729,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
8,199718,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
9,199727,751,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,200078,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
1,200084,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
2,200093,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
3,200085,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
4,200078,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
5,200082,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
6,200082,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
7,200101,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
8,200114,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
9,200127,750,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,200776,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
1,200750,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
2,200768,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
3,200787,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
4,200775,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
5,200820,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
6,200834,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
7,200815,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
8,200820,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
9,200806,747,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,563748,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
1,563675,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
2,563779,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
3,563794,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
4,563782,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
5,563641,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
6,563740,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
7,563813,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
8,563687,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
9,563736,267,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,570200,263,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
1,570255,263,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
2,570240,264,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
3,570302,264,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
4,570084,264,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
5,570453,263,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
6,570305,263,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
7,570484,263,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
8,570387,264,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
9,570519,264,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,574163,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
1,574170,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
