,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,20314,73833,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,23695,63249,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23695,63295,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23695,63303,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,23695,63297,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,23696,63295,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,23694,63289,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,23693,63300,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,23695,63308,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,23695,63298,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,23694,63301,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,19120,78225,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,19122,78439,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,19119,78426,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,19119,78436,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
