,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,14716,101893,8,8,8,rectangle,multimat-right-work-distribution,8_8_8_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,14993,99988,8,8,8,triangle,multimat-right-work-distribution,8_8_8_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24617,60442,8,8,16,rectangle,multimat-right-work-distribution,8_8_16_rectangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,24762,60082,8,8,16,triangle,multimat-right-work-distribution,8_8_16_triangle,16_16_1_2,768,16,16,256,1,2,1x2,one_to_many
0,7040,212039,4,1,1,rectangle,multimat-right-work-distribution,4_1_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6959,215374,4,1,1,triangle,multimat-right-work-distribution,4_1_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8374,178996,4,1,4,rectangle,multimat-right-work-distribution,4_1_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8319,179749,4,1,4,triangle,multimat-right-work-distribution,4_1_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11844,126626,4,1,8,rectangle,multimat-right-work-distribution,4_1_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11682,128393,4,1,8,triangle,multimat-right-work-distribution,4_1_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,18794,79715,4,1,16,rectangle,multimat-right-work-distribution,4_1_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,18781,79750,4,1,16,triangle,multimat-right-work-distribution,4_1_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6790,221032,4,2,1,rectangle,multimat-right-work-distribution,4_2_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6458,231923,4,2,1,triangle,multimat-right-work-distribution,4_2_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8837,169755,4,2,4,rectangle,multimat-right-work-distribution,4_2_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8846,169507,4,2,4,triangle,multimat-right-work-distribution,4_2_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13176,113912,4,2,8,rectangle,multimat-right-work-distribution,4_2_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13151,113975,4,2,8,triangle,multimat-right-work-distribution,4_2_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,21788,68548,4,2,16,rectangle,multimat-right-work-distribution,4_2_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22071,67260,4,2,16,triangle,multimat-right-work-distribution,4_2_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7182,208377,4,4,1,rectangle,multimat-right-work-distribution,4_4_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6861,218614,4,4,1,triangle,multimat-right-work-distribution,4_4_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13142,114125,4,4,4,rectangle,multimat-right-work-distribution,4_4_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
