,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,25084,5947,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,25165,5919,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,25136,5888,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,25134,5923,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,25135,5970,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,25104,5977,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,25155,5876,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,25119,5956,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,25117,5976,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,25115,5974,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,28845,5177,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,28891,5169,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,28904,5168,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,28889,5179,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,28885,5189,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,28865,5163,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,28922,5174,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,28877,5194,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,28908,5191,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,28868,5191,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,28889,5175,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,28839,5162,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,28938,5172,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,28927,5171,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,28912,5182,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,28870,5198,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,28921,5176,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,28871,5192,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,28893,5162,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,28860,5177,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,27039,5528,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,27080,5497,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,27120,5460,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,27082,5523,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,27100,5539,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27099,5537,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27138,5523,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,27065,5536,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,27078,5531,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27087,5531,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,28504,5246,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,28448,5250,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,28481,5239,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,28502,5249,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,28495,5264,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,28390,5284,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,28477,5262,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,28417,5251,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,28487,5269,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,28420,5284,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,27481,5440,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,27488,5437,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,27563,5379,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,27560,5428,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,27530,5446,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,27457,5383,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,27483,5461,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,27487,5448,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,27546,5422,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,27495,5446,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,26740,5577,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
