,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,15967,9361,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,15984,9383,4,2,1,4,20,multimat-right-multirow-both,4_1_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,22971,6531,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,22989,6516,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,23009,6506,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,23009,6512,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,22991,6500,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,23006,6510,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,23024,6513,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,23027,6500,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,22986,6514,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,23009,6504,4,4,1,1,20,multimat-right-multirow-both,4_1_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,23993,6249,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,24006,6242,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,24027,6226,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,24030,6242,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,24020,6244,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,24020,6234,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,24042,6239,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,24043,6241,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,24012,6245,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,24019,6244,4,4,1,2,20,multimat-right-multirow-both,4_1_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,17545,8555,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,17552,8534,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,17564,8530,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,17558,8537,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,17567,8542,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,17563,8536,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,17569,8532,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,17565,8525,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,17563,8525,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,17561,8525,4,4,1,4,20,multimat-right-multirow-both,4_1_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,18715,8011,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,18717,8000,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,18750,8006,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,18739,7996,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,18741,7974,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,18738,7966,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,18762,7948,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,18756,7987,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,18741,8002,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,18733,7988,4,1,2,1,20,multimat-right-multirow-both,4_2_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,18930,7921,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,18962,7915,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,18979,7898,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,18986,7898,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,18979,7893,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,18995,7889,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,18995,7892,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,19000,7876,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,18975,7904,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,18989,7899,4,1,2,2,20,multimat-right-multirow-both,4_2_1_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,17147,8752,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
