,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,18948,7816,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,18942,7901,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,18908,7877,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,18928,7901,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,18951,7915,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,18932,7891,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,18907,7923,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,18940,7895,4,1,16,rectangle,20,multimat-right-work-distribution,4_1_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,18658,7996,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,18671,7972,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,18741,7919,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,18721,7951,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,18683,7972,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,18728,7998,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,18734,8000,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,18703,8000,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,18694,7998,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,18699,7995,4,1,16,triangle,20,multimat-right-work-distribution,4_1_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,9262,16168,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,9256,16183,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,9359,16106,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,9305,16145,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,9264,16194,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,9318,16113,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,9319,16125,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,9298,16144,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,9275,16177,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,9273,16160,4,2,1,rectangle,20,multimat-right-work-distribution,4_2_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,9299,16132,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,9290,16129,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,9319,16077,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,9319,16078,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,9329,16075,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,9332,16075,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,9342,16049,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,9338,16089,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,9338,16069,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,9321,16092,4,2,1,triangle,20,multimat-right-work-distribution,4_2_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,11126,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,11129,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,11179,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,11179,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,11149,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,11152,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,11185,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,11178,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,11155,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,11166,10000,4,2,4,rectangle,20,multimat-right-work-distribution,4_2_4_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,11089,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,11095,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,11127,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,11121,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,11116,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
