,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,989038,1531,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,989155,1531,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,989224,1532,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,989345,1531,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,988872,1532,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2089443,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2089442,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2089417,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2089447,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2089442,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2089450,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2089414,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2089449,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2089440,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
