,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
4,533137,282,4,4,4,basic-multirow_both,4_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,533369,282,4,4,4,basic-multirow_both,4_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,533496,282,4,4,4,basic-multirow_both,4_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,533202,282,4,4,4,basic-multirow_both,4_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,533336,282,4,4,4,basic-multirow_both,4_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,533402,282,4,4,4,basic-multirow_both,4_4_4,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,571798,262,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,571839,263,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,571898,263,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,571847,263,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,571750,263,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,572003,263,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,571781,263,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,571633,263,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,571687,263,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,571886,263,4,4,8,basic-multirow_both,4_4_8,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,1011822,148,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,1010257,100,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,1011568,100,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
3,1010964,100,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
4,1011333,100,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
5,1010216,100,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
6,1010616,100,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
7,1010769,100,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
8,1011240,100,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
9,1011333,100,4,8,1,basic-multirow_both,4_8_1,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
0,939769,160,4,8,2,basic-multirow_both,4_8_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
1,941228,160,4,8,2,basic-multirow_both,4_8_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
2,940729,160,4,8,2,basic-multirow_both,4_8_2,16_16_1_1,512,16,16,256,1,1,1x1,one_to_one_saturated
