,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,17653,84999,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,17655,84994,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,17655,85007,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,17654,84996,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,17655,84989,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,17654,85001,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,17654,84997,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,17655,84995,4,4,2,1,none,multimat-both,4_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,17684,84822,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,17683,84819,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,17684,84821,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,17683,84823,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,17683,84825,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,17684,84823,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,17683,84819,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,17684,84824,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,17684,84820,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,17684,84821,4,4,4,1,none,multimat-both,4_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,13235,113325,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,13235,113335,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,13236,113337,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,13235,113337,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,13235,113343,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,13236,113336,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,13236,113329,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
