,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
4,15678,9545,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,15684,9513,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,15668,9544,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,15710,9513,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,15665,9525,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,15688,9537,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,19949,7469,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,19968,7454,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,19962,7489,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,19994,7521,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,19973,7523,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19981,7496,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,19948,7530,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,20001,7478,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,19974,7497,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,19980,7496,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,20040,7455,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,20055,7441,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,20019,7438,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,20045,7465,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,20039,7464,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,20036,7468,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,20012,7479,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,20066,7480,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,20022,7509,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,20038,7397,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,28881,5185,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
