,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
7,1164510,1332,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1189830,1327,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1190457,1311,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,746061,2418,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,810348,2042,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,783030,2115,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,848882,1961,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,849468,1983,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,847596,1997,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,848659,2024,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,847917,2014,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,749737,2226,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,823577,2081,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2476427,630,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2523472,603,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2530181,598,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2529057,598,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2545322,596,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
