,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,17926,83661,4,4,rectangle,basic-work_distribution,4_4_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,16235,92380,4,4,triangle,basic-work_distribution,4_4_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,23970,62023,4,8,rectangle,basic-work_distribution,4_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,21197,70215,4,8,triangle,basic-work_distribution,4_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,34566,43141,4,16,rectangle,basic-work_distribution,4_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,34146,43907,4,16,triangle,basic-work_distribution,4_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15759,95125,8,1,rectangle,basic-work_distribution,8_1_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15362,97771,8,1,triangle,basic-work_distribution,8_1_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,17050,87915,8,2,rectangle,basic-work_distribution,8_2_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,14900,100615,8,2,triangle,basic-work_distribution,8_2_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,18639,80380,8,4,rectangle,basic-work_distribution,8_4_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15780,95068,8,4,triangle,basic-work_distribution,8_4_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,24247,61427,8,8,rectangle,basic-work_distribution,8_8_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,21989,67545,8,8,triangle,basic-work_distribution,8_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,37040,40273,8,16,rectangle,basic-work_distribution,8_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,34470,43292,8,16,triangle,basic-work_distribution,8_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,30186,49169,4,1,rectangle,basic-work_distribution,4_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,29799,50200,4,1,triangle,basic-work_distribution,4_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,30672,48588,4,2,rectangle,basic-work_distribution,4_2_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,29885,49871,4,2,triangle,basic-work_distribution,4_2_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,33920,43952,4,4,rectangle,basic-work_distribution,4_4_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,33387,44681,4,4,triangle,basic-work_distribution,4_4_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,41277,36103,4,8,rectangle,basic-work_distribution,4_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,39288,38001,4,8,triangle,basic-work_distribution,4_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,42900,34659,4,16,rectangle,basic-work_distribution,4_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,42092,35359,4,16,triangle,basic-work_distribution,4_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,30973,48013,8,1,rectangle,basic-work_distribution,8_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,30299,49209,8,1,triangle,basic-work_distribution,8_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,31470,47393,8,2,rectangle,basic-work_distribution,8_2_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,30602,48695,8,2,triangle,basic-work_distribution,8_2_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,35173,42419,8,4,rectangle,basic-work_distribution,8_4_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,32546,45780,8,4,triangle,basic-work_distribution,8_4_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,43179,34435,8,8,rectangle,basic-work_distribution,8_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,42305,35153,8,8,triangle,basic-work_distribution,8_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,56419,26454,8,16,rectangle,basic-work_distribution,8_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,42870,34712,8,16,triangle,basic-work_distribution,8_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,113669,10000,4,1,rectangle,basic-work_distribution,4_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,112451,10000,4,1,triangle,basic-work_distribution,4_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,109898,10000,4,2,rectangle,basic-work_distribution,4_2_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,108871,10000,4,2,triangle,basic-work_distribution,4_2_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,112024,10000,4,4,rectangle,basic-work_distribution,4_4_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,110479,10000,4,4,triangle,basic-work_distribution,4_4_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,122796,10000,4,8,rectangle,basic-work_distribution,4_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,119324,10000,4,8,triangle,basic-work_distribution,4_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,139026,10000,4,16,rectangle,basic-work_distribution,4_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,124825,10000,4,16,triangle,basic-work_distribution,4_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,114736,10000,8,1,rectangle,basic-work_distribution,8_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,113371,10000,8,1,triangle,basic-work_distribution,8_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,110549,10000,8,2,rectangle,basic-work_distribution,8_2_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,109950,10000,8,2,triangle,basic-work_distribution,8_2_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,114023,10000,8,4,rectangle,basic-work_distribution,8_4_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,112276,10000,8,4,triangle,basic-work_distribution,8_4_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,125991,10000,8,8,rectangle,basic-work_distribution,8_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,123483,10000,8,8,triangle,basic-work_distribution,8_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,142599,10000,8,16,rectangle,basic-work_distribution,8_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,128510,10000,8,16,triangle,basic-work_distribution,8_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,317410,4827,4,1,rectangle,basic-work_distribution,4_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,313971,4888,4,1,triangle,basic-work_distribution,4_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,304879,4965,4,2,rectangle,basic-work_distribution,4_2_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,303801,5009,4,2,triangle,basic-work_distribution,4_2_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,302856,4926,4,4,rectangle,basic-work_distribution,4_4_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,301209,4965,4,4,triangle,basic-work_distribution,4_4_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,313475,4744,4,8,rectangle,basic-work_distribution,4_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,309045,4832,4,8,triangle,basic-work_distribution,4_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,337184,4387,4,16,rectangle,basic-work_distribution,4_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,332820,4502,4,16,triangle,basic-work_distribution,4_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,319949,4822,8,1,rectangle,basic-work_distribution,8_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,315927,4862,8,1,triangle,basic-work_distribution,8_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,308271,4888,8,2,rectangle,basic-work_distribution,8_2_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,305826,4970,8,2,triangle,basic-work_distribution,8_2_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,305338,4903,8,4,rectangle,basic-work_distribution,8_4_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,303646,4924,8,4,triangle,basic-work_distribution,8_4_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,317766,4666,8,8,rectangle,basic-work_distribution,8_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,314163,4753,8,8,triangle,basic-work_distribution,8_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,345468,4329,8,16,rectangle,basic-work_distribution,8_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,343441,4353,8,16,triangle,basic-work_distribution,8_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1447865,1046,4,1,rectangle,basic-work_distribution,4_1_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1429397,1058,4,1,triangle,basic-work_distribution,4_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1386671,1088,4,2,rectangle,basic-work_distribution,4_2_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
