,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,9874,151754,32,128,32,0,1,warp-per-shift-shared-memory,32_128_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8332,180008,32,128,32,1,0,warp-per-shift-shared-memory,32_128_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,8323,180269,32,128,32,1,1,warp-per-shift-shared-memory,32_128_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,43106,34812,8,32,8,0,0,warp-per-shift-shared-memory,8_32_False_False,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,46070,32557,8,32,8,0,1,warp-per-shift-shared-memory,8_32_False_True,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,31737,47258,8,32,8,1,0,warp-per-shift-shared-memory,8_32_True_False,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,33473,44808,8,32,8,1,1,warp-per-shift-shared-memory,8_32_True_True,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,36560,41023,8,128,8,0,0,warp-per-shift-shared-memory,8_128_False_False,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,36566,41021,8,128,8,0,1,warp-per-shift-shared-memory,8_128_False_True,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26713,56151,8,128,8,1,0,warp-per-shift-shared-memory,8_128_True_False,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26694,56198,8,128,8,1,1,warp-per-shift-shared-memory,8_128_True_True,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,36730,40840,8,256,8,0,0,warp-per-shift-shared-memory,8_256_False_False,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,36726,40841,8,256,8,0,1,warp-per-shift-shared-memory,8_256_False_True,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26869,55826,8,256,8,1,0,warp-per-shift-shared-memory,8_256_True_False,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,26889,55778,8,256,8,1,1,warp-per-shift-shared-memory,8_256_True_True,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,30328,49478,16,32,16,0,0,warp-per-shift-shared-memory,16_32_False_False,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
