,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
3,17288,86728,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,17289,86746,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,17286,86720,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,17286,86751,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,17286,86778,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,17285,86728,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,17284,86760,8,1,1,1,none,multimat-both,8_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,21299,70443,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,21297,70431,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,21297,70436,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,21298,70430,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,21300,70434,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,21296,70432,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,21298,70422,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,21299,70428,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,21297,70427,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,21299,70435,8,1,2,1,none,multimat-both,8_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,22081,67873,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,22076,67883,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,22085,67898,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,22080,67904,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,22082,67893,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,22080,67894,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,22081,67912,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,22080,67888,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,22080,67893,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,22084,67896,8,1,4,1,none,multimat-both,8_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,23115,64895,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23113,64885,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23115,64888,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,23114,64887,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,23115,64890,8,2,1,1,none,multimat-both,8_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
