,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,25222,59473,4,4,4,basic-multirow_both,4_4_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,19984,75055,4,4,8,basic-multirow_both,4_4_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,37786,39698,4,8,1,basic-multirow_both,4_8_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,34964,42906,4,8,2,basic-multirow_both,4_8_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,26680,56217,4,8,4,basic-multirow_both,4_8_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,26221,57208,4,8,8,basic-multirow_both,4_8_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,28767,52139,8,1,1,basic-multirow_both,8_1_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,23218,64606,8,1,2,basic-multirow_both,8_1_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,22221,67499,8,1,4,basic-multirow_both,8_1_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,23282,64428,8,1,8,basic-multirow_both,8_1_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,34449,43539,8,2,1,basic-multirow_both,8_2_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,25909,57893,8,2,2,basic-multirow_both,8_2_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,25786,58168,8,2,4,basic-multirow_both,8_2_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,23674,63363,8,2,8,basic-multirow_both,8_2_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,53100,28249,8,4,1,basic-multirow_both,8_4_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,29473,50894,8,4,2,basic-multirow_both,8_4_2,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,26726,56126,8,4,4,basic-multirow_both,8_4_4,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,22705,66059,8,4,8,basic-multirow_both,8_4_8,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,42360,35411,8,8,1,basic-multirow_both,8_8_1,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
