,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
3,19297,77725,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,19298,77724,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,19302,77737,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,19303,77725,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,19297,77705,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,19294,77761,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,19302,77698,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,22263,67346,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,22263,67377,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,22263,67374,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,22263,67377,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,22264,67373,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,22264,67374,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,22263,67371,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,22263,67377,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,22263,67374,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,22263,67372,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,21504,69746,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,21504,69753,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,21504,69753,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,21504,69752,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,21504,69754,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,21504,69754,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,21504,69752,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,21504,69752,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,21504,69754,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,21504,69753,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,17736,84619,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,17738,84536,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,17738,84609,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,17742,84593,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,17735,84624,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,17746,84622,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,17738,84617,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,17738,84477,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,17739,84554,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,17727,84592,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,27841,53870,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,27839,53879,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,27840,53871,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
