,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,1416792,1072,4,2,4,1,none,multimat-both,4_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2912862,486,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2909358,516,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2909096,516,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2909666,516,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2909598,516,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2909303,516,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2909648,516,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2909426,516,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2909110,516,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2909243,516,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1664700,923,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1662666,902,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1662677,902,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1663137,903,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1664854,901,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1662847,901,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1662794,901,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1667848,902,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
