,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,2597866,578,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2597864,578,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2597880,578,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2597873,577,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2597843,578,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2597882,578,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2597838,578,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2597835,579,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2597856,578,4,2,1,1,4,multimat-both-multirow-both,4_1_1_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2209047,699,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2208927,681,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2209613,679,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2209541,682,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2211155,679,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2210419,681,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2211440,680,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2210669,680,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2211010,680,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2208974,679,4,4,1,1,1,multimat-both-multirow-both,4_1_1_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1983838,778,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1985192,760,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1985174,756,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1985270,759,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1985249,760,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1985178,757,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1985279,761,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1985197,756,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1985282,760,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1985224,756,4,4,1,1,2,multimat-both-multirow-both,4_1_1_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1908295,802,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1909797,788,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1908268,786,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1907841,789,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1908132,787,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1909092,787,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1907660,790,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1907748,786,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1910250,785,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1907715,786,4,4,1,1,4,multimat-both-multirow-both,4_1_1_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2692171,557,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2692213,558,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2692211,558,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2692206,558,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2692204,559,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
