,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,2097521728,1,4,4,1,basic-multirow_both,4_4_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,1640716552,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1637254028,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1636057128,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1633668945,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1636227050,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1637045288,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1634489379,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1636654052,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1638025268,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1635978149,1,4,4,2,basic-multirow_both,4_4_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,1406067382,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1398924316,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1399832397,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1399165893,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1400831909,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1398291503,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1399292724,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1398331176,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1400914916,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1399506835,1,4,4,4,basic-multirow_both,4_4_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,1289631958,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1281065795,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1281960815,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1283596191,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1283371826,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1282624389,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1281936279,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1281251220,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1282829223,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1282952026,1,4,4,8,basic-multirow_both,4_4_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,1786834838,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1781747680,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1784342529,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1783614501,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1782840332,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1783726074,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1782003784,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1781948364,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1781522583,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
