,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,76919,19494,4,4,rectangle,basic-work_distribution,4_4_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,75364,19888,4,4,triangle,basic-work_distribution,4_4_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,86015,17431,4,8,rectangle,basic-work_distribution,4_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,80759,18572,4,8,triangle,basic-work_distribution,4_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,95891,15627,4,16,rectangle,basic-work_distribution,4_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,89289,16791,4,16,triangle,basic-work_distribution,4_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,74396,20496,8,1,rectangle,basic-work_distribution,8_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,73491,20767,8,1,triangle,basic-work_distribution,8_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,74140,20395,8,2,rectangle,basic-work_distribution,8_2_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,73199,20651,8,2,triangle,basic-work_distribution,8_2_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,79728,18809,8,4,rectangle,basic-work_distribution,8_4_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,77965,19226,8,4,triangle,basic-work_distribution,8_4_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,95985,15636,8,8,rectangle,basic-work_distribution,8_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,94839,15821,8,8,triangle,basic-work_distribution,8_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,121690,10000,8,16,rectangle,basic-work_distribution,8_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,109579,10000,8,16,triangle,basic-work_distribution,8_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,205410,7700,4,1,rectangle,basic-work_distribution,4_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,203122,7818,4,1,triangle,basic-work_distribution,4_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
