,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,8745,17147,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,8744,17149,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,8744,17150,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,8745,17152,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,8745,17156,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
5,8746,17148,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,8745,17150,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,8744,17155,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,8745,17149,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,8744,17154,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,9873,15191,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,9873,15191,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,9873,15193,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,9873,15190,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,9874,15190,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
5,9873,15192,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,9873,15194,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,9871,15193,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,9872,15193,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,9873,15193,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,14475,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,14428,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,14426,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,14426,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,14426,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,14425,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,14425,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,14426,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,14426,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,14425,10000,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,16612,9009,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,16621,9015,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,16621,9016,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,16621,9010,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,16622,9011,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,16623,9009,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,16621,9004,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,16621,9010,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,16623,9011,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,16621,9015,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,15789,9482,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,15788,9482,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,15788,9482,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,15787,9482,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,15788,9487,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,15787,9489,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,15788,9488,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,15788,9488,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,15787,9486,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,15787,9488,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,29267,5150,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,29368,5101,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,29305,5101,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,29303,5109,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,29410,5113,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,29568,5082,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,30102,4958,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,30101,4959,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
8,29804,4963,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
9,29505,5036,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,31060,4807,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,30944,4832,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,30928,4848,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,30930,4865,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,30919,4846,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,30914,4840,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,30916,4845,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,30915,4853,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
8,30918,4856,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
9,30920,4861,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,32615,4596,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,32562,4596,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,32548,4605,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,32546,4604,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,32549,4604,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,32552,4605,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,32550,4605,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,32551,4607,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
8,32549,4603,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
9,32545,4607,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,93856,1666,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
1,95902,1555,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
2,95832,1559,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
3,95768,1562,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
4,95961,1560,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
5,98618,1551,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
6,98886,1510,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
7,97125,1528,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
8,96734,1551,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
9,96726,1550,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,96709,1645,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
