,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4565,329326,32,128,32,0,0,warp-per-shift-shared-memory,32_128_False_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,4564,329371,32,128,32,0,1,warp-per-shift-shared-memory,32_128_False_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3946,380174,32,128,32,1,0,warp-per-shift-shared-memory,32_128_True_False,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,3946,380116,32,128,32,1,1,warp-per-shift-shared-memory,32_128_True_True,24_24_1_1,1152,24,24,576,1,1,1x1,one_to_one
0,7146,209704,8,32,8,0,0,warp-per-shift-shared-memory,8_32_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7132,209726,8,32,8,0,1,warp-per-shift-shared-memory,8_32_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6143,244161,8,32,8,1,0,warp-per-shift-shared-memory,8_32_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6150,243872,8,32,8,1,1,warp-per-shift-shared-memory,8_32_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7151,209876,8,128,8,0,0,warp-per-shift-shared-memory,8_128_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7152,209879,8,128,8,0,1,warp-per-shift-shared-memory,8_128_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6143,244158,8,128,8,1,0,warp-per-shift-shared-memory,8_128_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6143,244150,8,128,8,1,1,warp-per-shift-shared-memory,8_128_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7149,209969,8,256,8,0,0,warp-per-shift-shared-memory,8_256_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,7150,209999,8,256,8,0,1,warp-per-shift-shared-memory,8_256_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6149,243897,8,256,8,1,0,warp-per-shift-shared-memory,8_256_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,6149,243905,8,256,8,1,1,warp-per-shift-shared-memory,8_256_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,5574,269150,16,32,16,0,0,warp-per-shift-shared-memory,16_32_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,5573,269269,16,32,16,0,1,warp-per-shift-shared-memory,16_32_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4843,309752,16,32,16,1,0,warp-per-shift-shared-memory,16_32_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4843,309745,16,32,16,1,1,warp-per-shift-shared-memory,16_32_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,5574,269173,16,128,16,0,0,warp-per-shift-shared-memory,16_128_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,5574,269194,16,128,16,0,1,warp-per-shift-shared-memory,16_128_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4843,309766,16,128,16,1,0,warp-per-shift-shared-memory,16_128_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4843,309738,16,128,16,1,1,warp-per-shift-shared-memory,16_128_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,5573,269284,16,256,16,0,0,warp-per-shift-shared-memory,16_256_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,5572,269253,16,256,16,0,1,warp-per-shift-shared-memory,16_256_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4778,314023,16,256,16,1,0,warp-per-shift-shared-memory,16_256_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4797,312687,16,256,16,1,1,warp-per-shift-shared-memory,16_256_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4883,307141,32,32,32,0,0,warp-per-shift-shared-memory,32_32_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4883,307136,32,32,32,0,1,warp-per-shift-shared-memory,32_32_False_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4469,335558,32,32,32,1,0,warp-per-shift-shared-memory,32_32_True_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4478,334877,32,32,32,1,1,warp-per-shift-shared-memory,32_32_True_True,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,4883,307130,32,128,32,0,0,warp-per-shift-shared-memory,32_128_False_False,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
