,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,14281,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,14279,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,14279,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,14281,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,14281,10000,16,warp-per-shift-simple-indexing,16,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,15847,9403,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
1,15845,9427,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
2,15845,9457,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
3,15846,9445,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
4,15844,9439,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
5,15845,9439,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
6,15843,9451,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
7,15844,9457,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
8,15844,9433,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
9,15844,9439,32,warp-per-shift-simple-indexing,32,32_32_1_1,2048,32,32,1024,1,1,1x1,one_to_one
0,38360,3911,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,38486,3903,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,38517,3888,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,38530,3889,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,38532,3889,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,38523,3891,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,38513,3887,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,38516,3889,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,38512,3891,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,38525,3889,4,warp-per-shift-simple-indexing,4,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,39927,3754,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,39925,3755,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,39925,3771,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,39940,3754,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,39910,3754,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,39926,3758,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,39959,3758,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,39914,3736,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,39944,3758,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,39933,3747,16,warp-per-shift-simple-indexing,16,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,42936,3489,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
1,42941,3489,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
2,42936,3504,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
3,42930,3507,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
4,42933,3505,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
5,42945,3489,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
6,42922,3502,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
7,42901,3507,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
8,42818,3491,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
9,42821,3509,32,warp-per-shift-simple-indexing,32,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,86160,1741,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,86163,1741,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,86178,1740,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,86176,1740,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,86166,1740,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,86182,1739,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,86166,1740,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,86189,1740,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
8,86177,1739,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
9,86157,1740,4,warp-per-shift-simple-indexing,4,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,88383,1696,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,88360,1698,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,88400,1697,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,88341,1697,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,88403,1697,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,88395,1697,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,88391,1695,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,88386,1694,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
8,88355,1698,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
9,88372,1695,16,warp-per-shift-simple-indexing,16,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,93178,1601,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
1,93367,1604,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
2,93295,1602,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
3,93446,1610,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
4,93264,1604,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
5,93314,1600,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
6,93356,1611,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
7,93342,1609,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
8,93260,1603,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
9,93404,1605,32,warp-per-shift-simple-indexing,32,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,280570,535,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
1,280595,535,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
2,280614,535,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
3,280597,535,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
4,280597,535,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
5,280591,535,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
6,281000,535,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
7,280902,533,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
8,280888,534,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
9,280865,534,4,warp-per-shift-simple-indexing,4,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,282413,531,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
1,282435,532,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
2,282387,532,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
3,282396,532,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
4,282456,531,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
5,282414,532,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
6,282408,531,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
7,282433,532,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
8,282425,532,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
9,282471,531,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,285899,524,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
1,285893,525,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
2,285869,525,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
3,285904,525,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
4,285846,525,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
