,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,40349,36966,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,31614,47250,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,32194,46303,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,48_48_1_1,4608,48,48,2304,1,1,1x1,one_to_one
0,432451,3450,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,344755,4317,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,90148,16597,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,87558,17096,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,66626,22454,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,68962,21666,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,362069,4108,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,360428,4140,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,86540,17289,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,90368,16576,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
