,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,1767678,898,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1819785,854,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1871111,823,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1866058,823,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1871106,821,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1844272,868,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1899981,810,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1787638,896,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1709608,946,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1795002,852,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1810847,845,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1806064,846,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1789135,877,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1843352,833,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1843677,835,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1843517,833,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1786362,878,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1805890,850,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1693543,946,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1751815,875,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1758422,862,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1760788,864,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1794451,849,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1776487,871,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1781718,859,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1761956,906,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1773967,872,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1792506,853,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1334626,1235,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1424894,1097,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1405147,1120,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1467957,1070,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
