,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,6155,25635,3399,44071,5940,26519,85549,1,5636203,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
6,6157,25604,3399,44160,5954,26457,83928,1,5408566,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
7,6130,25681,3400,44027,5953,26478,231060,1,6397636,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
8,6132,25668,3403,44055,5955,26461,158083,1,5493717,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
9,6133,25681,3394,44166,5939,26530,187621,1,6583083,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
10,6158,25603,3397,44093,5938,26541,229466,1,5873976,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
11,6158,25598,3399,44196,5953,26455,150124,1,5356755,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
12,6130,25676,3399,44116,5936,26548,85121,1,5344273,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
13,6155,25609,3396,44185,5939,26523,88300,1,5364306,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
14,6158,25591,3396,44146,5955,26443,85121,1,5192418,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
15,6130,25665,3399,44053,5955,26452,234452,1,5173205,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
16,6131,25685,3393,44056,5939,26513,229034,1,5054309,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
17,6158,25597,3399,44088,5953,26454,83381,1,5336554,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
18,6131,25691,3397,44116,5940,26537,245704,1,6090614,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
19,6160,25586,3399,44061,5939,26536,244394,1,6051413,1,256,fft,,32_32_1_8,9216,32,32,1024,1,8,1x8,one_to_many
0,8487,18515,2128,70453,8174,19226,92564,1,9044180,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
1,8507,18473,2150,70122,8196,19177,229507,1,5065958,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
2,8486,18509,2139,70216,8179,19214,99181,1,4102246,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
3,8509,18479,2137,69915,8174,19221,227948,1,5872233,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
4,8508,18460,2148,69434,8197,19168,192034,1,5085681,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
5,8486,18507,2136,70449,8192,19178,241590,1,108983478,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
6,8488,18533,2143,69965,8197,19172,79816,1,4550295,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
7,8487,18507,2141,69941,8192,19176,82551,1,4987601,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
8,8487,18504,2137,70216,8176,19220,105418,1,3400296,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
9,8509,18460,2154,70643,8177,19218,82987,1,4775280,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
10,8508,18461,2136,70358,8196,19175,227721,1,5781483,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
11,8487,18506,2135,70008,8174,19231,237935,1,5231978,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
12,8508,18464,2132,70578,8193,19182,242549,1,5932340,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
13,8488,18508,2137,70291,8192,19182,82962,1,5591221,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
14,8488,18503,2132,70328,8174,19214,225130,1,5788163,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
15,8510,18474,2151,70483,8177,19221,226150,1,4955179,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
16,8509,18456,2128,69828,8193,19184,254734,1,5136498,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
17,8488,18507,2143,70311,8195,19174,229641,1,4722470,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
18,8490,18507,2144,69945,8191,19185,159927,1,5249745,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
19,8488,18513,2142,70348,8177,19214,88560,1,5737093,1,256,fft,,64_64_1_2,12288,64,64,4096,1,2,1x2,one_to_many
0,6895,22826,7917,18953,6695,23490,93246,1,8700900,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
1,6901,22807,7916,18950,6693,23492,143265,1,5890925,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
2,6893,22809,7920,18954,6689,23557,88763,1,5768023,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
3,6901,22798,7918,18954,6696,23515,201004,1,6008218,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
4,6897,22808,7919,18956,6687,23515,188762,1,5917645,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
5,6901,22788,7920,18951,6687,23536,84001,1,5299941,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
6,6902,22793,7919,18955,6686,23514,99927,1,5338901,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
7,6902,22784,7918,18955,6686,23542,210967,1,5941710,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
8,6901,22781,7917,18949,6685,23527,128776,1,5271131,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
9,6900,22787,7918,18956,6694,23501,179975,1,5302344,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
10,6894,22811,7917,18961,6693,23538,202343,1,4790604,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
11,6898,22796,7918,18953,6693,23532,83822,1,5397746,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
12,6892,22815,7917,18954,6688,23558,225385,1,5721597,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
13,6899,22789,7917,18956,6694,23495,216160,1,5554597,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
14,6894,22799,7917,18955,6694,23518,213346,1,6464294,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
15,6893,22807,7918,18952,6687,23515,227115,1,5698039,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
16,6903,22783,7916,18952,6695,23513,81972,1,5605974,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
17,6894,22816,7917,18952,6685,23544,233105,1,5688498,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
18,6900,22790,7917,18953,6688,23513,83815,1,5469294,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
19,6902,22781,7918,18953,6688,23543,227925,1,5820916,1,256,fft,,32_32_1_32,33792,32,32,1024,1,32,1x32,one_to_many
0,9150,17169,3332,44822,8852,17746,98137,1,6996283,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
1,9142,17185,3331,44912,8845,17761,232852,1,5583721,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
2,9152,17165,3337,44910,8857,17736,86179,1,4661773,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
3,9146,17171,3335,44901,8850,17739,227564,1,5346142,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
4,9142,17194,3333,44923,8857,17729,121057,1,5503041,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
5,9148,17190,3333,44889,8857,17736,118816,1,5334932,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
6,9145,17179,3333,44875,8855,17769,89980,1,4692112,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
7,9142,17204,3334,44918,8849,17790,119355,1,5970041,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
8,9151,17162,3334,44916,8857,17758,205437,1,5750590,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
9,9148,17179,3332,44934,8848,17754,193004,1,5313587,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
10,9152,17159,3333,44948,8857,17737,89701,1,5162426,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
11,9141,17187,3335,44820,8848,17777,83322,1,3783735,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
12,9154,17166,3332,44936,8856,17736,225242,1,4830830,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
13,9144,17182,3331,44943,8854,17746,227939,1,5662110,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
14,9144,17176,3333,44871,8858,17770,154850,1,4984683,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
15,9144,17187,3332,44903,8853,17741,225243,1,5103443,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
16,9147,17174,3332,44950,8849,17788,83355,1,5246969,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
17,9153,17166,3331,44958,8857,17759,238645,1,5267818,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
18,9149,17175,3332,44834,8848,17762,83812,1,5490352,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
19,9156,17159,3335,44883,8848,17793,84264,1,4860550,1,256,fft,,64_64_1_8,36864,64,64,4096,1,8,1x8,one_to_many
0,10204,15395,2480,60434,9565,16421,149646,1,10001986,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
1,10171,15438,2479,60534,9562,16423,385440,1,5491068,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
2,10170,15440,2479,60521,9559,16431,352944,1,5106073,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
3,10178,15430,2478,60554,9567,16421,178149,1,4936360,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
4,10185,15428,2479,60514,9564,16433,139983,1,5049803,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
5,10172,15440,2478,60511,9560,16432,348258,1,5589920,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
6,10170,15441,2480,60526,9568,16433,140141,1,4566151,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
7,10164,15455,2478,60516,9560,16460,144320,1,4555783,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
8,10174,15438,2479,60524,9567,16428,344196,1,4700854,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
9,10167,15441,2481,60491,9569,16419,140834,1,5201170,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
10,10168,15451,2482,60534,9562,16465,249013,1,4968292,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
11,10171,15439,2481,60534,9565,16422,138998,1,4550594,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
12,10163,15452,2478,60546,9564,16440,306307,1,4395231,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
13,10170,15438,2481,60516,9570,16426,134946,1,4896342,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
14,10164,15449,2478,60521,9568,16412,135293,1,5619002,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
15,10165,15448,2479,60566,9561,16434,145046,1,5181535,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
16,10171,15433,2478,60546,9570,16413,160199,1,5364620,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
17,10168,15445,2481,60534,9560,16470,138393,1,4354478,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
18,10165,15449,2480,60521,9561,16458,139189,1,4674402,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
