,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,right_matrices_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,15431,97173,8,256,8,0,0,1,warp-per-shift-shared-memory,8_256_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12293,122009,8,256,8,0,0,2,warp-per-shift-shared-memory,8_256_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12132,123584,8,256,8,0,0,4,warp-per-shift-shared-memory,8_256_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17459,85890,8,256,8,0,1,1,warp-per-shift-shared-memory,8_256_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14276,105041,8,256,8,0,1,2,warp-per-shift-shared-memory,8_256_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14108,106299,8,256,8,0,1,4,warp-per-shift-shared-memory,8_256_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11344,132211,8,256,8,1,0,1,warp-per-shift-shared-memory,8_256_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9295,161364,8,256,8,1,0,2,warp-per-shift-shared-memory,8_256_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9344,160436,8,256,8,1,0,4,warp-per-shift-shared-memory,8_256_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13434,111644,8,256,8,1,1,1,warp-per-shift-shared-memory,8_256_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11288,132766,8,256,8,1,1,2,warp-per-shift-shared-memory,8_256_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11415,131321,8,256,8,1,1,4,warp-per-shift-shared-memory,8_256_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13760,109010,16,32,16,0,0,1,warp-per-shift-shared-memory,16_32_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10136,147970,16,32,16,0,0,2,warp-per-shift-shared-memory,16_32_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10280,145868,16,32,16,0,0,4,warp-per-shift-shared-memory,16_32_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8506,176352,16,32,16,0,0,8,warp-per-shift-shared-memory,16_32_False_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15864,94558,16,32,16,0,1,1,warp-per-shift-shared-memory,16_32_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12152,123401,16,32,16,0,1,2,warp-per-shift-shared-memory,16_32_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12241,122457,16,32,16,0,1,4,warp-per-shift-shared-memory,16_32_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10556,141977,16,32,16,0,1,8,warp-per-shift-shared-memory,16_32_False_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10718,140013,16,32,16,1,0,1,warp-per-shift-shared-memory,16_32_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8193,183122,16,32,16,1,0,2,warp-per-shift-shared-memory,16_32_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8651,173283,16,32,16,1,0,4,warp-per-shift-shared-memory,16_32_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6881,218042,16,32,16,1,0,8,warp-per-shift-shared-memory,16_32_True_False_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12671,118379,16,32,16,1,1,1,warp-per-shift-shared-memory,16_32_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10230,146563,16,32,16,1,1,2,warp-per-shift-shared-memory,16_32_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10585,141634,16,32,16,1,1,4,warp-per-shift-shared-memory,16_32_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8790,170500,16,32,16,1,1,8,warp-per-shift-shared-memory,16_32_True_True_8,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13791,108736,16,128,16,0,0,1,warp-per-shift-shared-memory,16_128_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10133,148012,16,128,16,0,0,2,warp-per-shift-shared-memory,16_128_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10296,145689,16,128,16,0,0,4,warp-per-shift-shared-memory,16_128_False_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15829,94735,16,128,16,0,1,1,warp-per-shift-shared-memory,16_128_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12160,123353,16,128,16,0,1,2,warp-per-shift-shared-memory,16_128_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
