,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
7,517441224,1,4,2,1,1,1,multimat-right-multirow-both,4_1_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
8,517285879,1,4,2,1,1,1,multimat-right-multirow-both,4_1_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,518002213,1,4,2,1,1,1,multimat-right-multirow-both,4_1_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,455518021,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,450885958,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,450847600,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,450567015,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,451446667,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
5,450671053,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,451367627,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,450472322,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
