,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,266087,564,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,266040,564,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,266094,564,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,266181,564,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,266131,564,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,266111,564,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,266089,564,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,266100,564,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,266140,564,4,4,2,4,multimat-right-multirow-both,4_2_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,353051,425,4,1,4,1,multimat-right-multirow-both,4_4_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,352945,425,4,1,4,1,multimat-right-multirow-both,4_4_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,352957,425,4,1,4,1,multimat-right-multirow-both,4_4_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,352959,425,4,1,4,1,multimat-right-multirow-both,4_4_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
